Comida,MomentoSugerido,Cocinero,PasosPrevios,Preparacion,Fuente,Notas
Arroz campero,Almuerzo,Luis,Descongela la aguja de vaca la noche antes en la nevera.,"1. Pica pimiento verde, ajos y tomate. En la paellera, sofrie pimiento y ajos; anade la aguja de vaca troceada y el chorizo salpimentados y dora.
2. Incorpora el tomate natural y rehoga.
3. Anade el arroz (90-100 g/persona) y sofrielo 2 min con pimenton y colorante o azafran.
4. Vierte el caldo caliente (3 veces el volumen de arroz) y cuece a fuego fuerte 8 min.
5. Anade guisantes y el pimiento morron asado; baja a fuego minimo y cuece 8 min mas.
6. Apaga, tapa con un pano y reposa 7-8 min.",https://www.directoalpaladar.com/recetas-de-arroces/receta-arroz-campero-tipico-andalucia,
Mousaka griega,Almuerzo,Paco,Con antelacion: lava las laminas de berenjena con agua y sal y dejalas 30-45 min para quitar el amargor; escurre y seca. Hornea o frie las laminas de patata y de berenjena antes de montar. Necesitas papel vegetal de horno.,"1. Lamina las berenjenas, salalas y dejalas sudar; frielas ligeramente y reserva.
2. Corta las patatas en rodajas y frielas ligeramente para la base.
3. Pocha cebolla, anade tomate tamizado (nunca concentrado ni frito) y haz el sofrito.
4. Incorpora la ternera picada dorada, un chorro de vino tinto y caldo; cuece 10 min hasta que no quede liquido.
5. Prepara la bechamel (25 g mantequilla, 25 g harina, 500 ml leche) hasta que espese.
6. Monta por capas: patata, berenjena, carne, berenjena; cubre con bechamel y queso.
7. Hornea 20 min a 160C y gratina 3 min a 220C.",https://www.directoalpaladar.com/recetas-de-carnes-y-aves/moussaka-receta-griega,Con ternera (no cordero); tomate tamizado.
Couscous,Almuerzo,Paco,La noche anterior: deja los garbanzos en remojo (o usa garbanzos ya cocidos). Puedes guisar la carrillera la vispera; gana de un dia para otro.,"1. Trocea la carrillera de ternera, salpimienta y dorala a fuego alto en la cazuela.
2. Baja el fuego, anade cebolla y pocha 10 min.
3. Incorpora muy poco tomate tamizado y cocina hasta evaporar.
4. Anade caldo, la zanahoria en dados (opcional), jengibre, comino y curcuma; guisa a fuego lento hasta que la carne este muy tierna.
5. Anade el calabacin y los garbanzos; cuece 10-15 min mas.
6. Aparte, hidrata la semola con caldo hirviendo, tapa 5 min y desgrana con un tenedor.
7. Sirve la semola de base y reparte el guiso por encima.",https://www.todosacomer.net/recetas/guisos-pasta-arroces/cuscus-con-verduras-y-pollo,Zanahoria opcional; tomate tamizado (poco).
Plato alpujarreno con huevos,Almuerzo,Paco,,"1. Corta las patatas en rodajas de 1/2 cm; pica ajo y corta cebolla y pimiento verde.
2. En abundante aceite, frie ajo y luego patatas, cebolla y pimiento; 5 min a fuego fuerte.
3. Baja el fuego y cocina 25 min removiendo hasta que las patatas a lo pobre esten tiernas; escurre y sala.
4. Aparte, frie los embutidos (chorizo, morcilla, longaniza, lomo) 5 min; escurre.
5. Frie los huevos en aceite muy caliente para que la puntilla quede crujiente.
6. Emplata: base de patatas, encima embutidos, huevos fritos y unas lonchas de jamon.",https://bonviveur.com/es/recetas/plato-alpujarreno,Patatas a lo pobre + embutido + huevos.
Salmorejo con acompanamiento,Almuerzo,Paco,Preparalo con antelacion y enfrialo en nevera al menos 2 h antes de servir.,"1. Tritura los tomates (1 kg por cada 6 raciones); no hace falta pelar ni despepitar.
2. Anade el pan (unos 200 g de telera por cada 6) y deja que se empape 10 min.
3. Anade el ajo y tritura hasta una crema espesa.
4. Incorpora el AOVE en hilo y bate hasta emulsionar; sala y enfria.
5. Sirve frio con jamon picado y huevo cocido.
6. De acompanamiento, salpimienta los filetes y hazlos a la plancha 2-3 min por cara.",https://www.directoalpaladar.com/recetas-de-sopas-y-cremas/receta-de-salmorejo-cordobes-tradicional,Acompanamiento elegible; por defecto filetes de ternera.
Migas,Almuerzo,Manolo,,"1. Corta pan candeal asentado en cubos de 1 cm; humedecelo con agua salada, tapa con un pano y reposa (mejor de un dia para otro).
2. Frie el chorizo en rodajas y la panceta en dados hasta que suelten grasa; reserva.
3. En esa grasa, rehoga los ajos aplastados con piel 2-3 min sin quemar.
4. Anade las migas de pan y el pimenton; cocina a fuego suave 10 min removiendo.
5. Cuando esten sueltas y doradas, devuelve chorizo y panceta y mezcla.
6. Para grupo grande, trabaja por tandas o en perol amplio; sirve muy caliente.",https://www.directoalpaladar.com/recetas-tradicionales/mejor-receta-migas-pan-chorizo-clasico-potente-como-tradicional,
Chili con carne,Almuerzo,Dan,Se puede cocinar la vispera; gana de un dia para otro.,"1. Pocha la cebolla en aceite hasta transparente.
2. Anade ajo, pimenton picante y comino; rehoga.
3. Incorpora la carne picada y cocina hasta que pierda el color.
4. Anade tomate, un poco de caldo y una pizca de azucar; cuece destapado 30 min.
5. Anade las alubias rojas y la lata de maiz; cuece unos minutos.
6. Rectifica de sal y picante; sirve con arroz blanco y nachos.",https://www.directoalpaladar.com/recetas-de-carnes-y-aves/chili-receta-mexicana-con-y-sin-thermomix,Con guarnicion de arroz.
Asado de pollo y patatas,Almuerzo,Paco,Precalienta el horno a 180C. Cubre la bandeja con papel vegetal o engrasala bien.,"1. Precalienta el horno a 180C. Mezcla sal, pimienta y tomillo/romero.
2. Parte las patatas, hazles cortes y colocalas en la bandeja engrasada.
3. Sazona el pollo por dentro y fuera; introduce ajos en cortes y en la cavidad.
4. Coloca el pollo sobre las patatas y hornea a 180C unos 45-60 min (remueve las patatas a media coccion).
5. Pasa los jugos a un cazo, hierve y liga con un poco de maicena.
6. Trincha, riega con la salsa y sirve; para mas comensales reparte en varias bandejas sin amontonar.",https://www.hogarmania.com/cocina/recetas/carnes/pollo-asado-patatas-ensalada-verde-16651.html,El 'asado de carne/pescado'.
Pisto de verduras con huevos,Almuerzo,Paco,,"1. Pica en cuadraditos la cebolla y el pimiento verde; pica una pizca de ajo.
2. Pocha cebolla, pimiento y ajo en aceite 10-15 min a fuego medio.
3. Anade el tomate natural y cuece despacio hasta que quede meloso (no caldoso).
4. Rectifica de sal (pizca de azucar si esta acido).
5. Aparte, frie los huevos.
6. Sirve el pisto con los huevos fritos por encima.",https://www.directoalpaladar.com/recetas-de-legumbres-y-verduras/pisto-de-pimientos-y-tomates-la-receta-de-mi-abuela,"RESPALDO: solo cebolla, tomate frito y pimiento verde + huevos."
Barbacoa 1,Cena,Manolo,Enciende las brasas 30-40 min antes (carbon + pastillas). Ten la carne fresca (sin congelar) y las salsas listas.,"1. Enciende la barbacoa 30-40 min antes; espera a que las brasas esten blanquecinas, sin llama.
2. Reparte el carbon para calor uniforme; parrilla no muy pegada a las brasas.
3. Empieza por el embutido y las piezas grasas: chorizo, panceta y morcilla.
4. Asa la presa, el secreto y la pluma de cerdo a calor medio, girando cada pocos minutos.
5. Haz los pinchitos dandoles vueltas para que se doren sin secarse.
6. Usa carne fresca (sin congelar); retira cada pieza segun se dora.
7. NO sales antes: echa la sal SOLO AL FINAL, en el plato.",https://www.directoalpaladar.com/cultura-gastronomica/los-9-trucos-imprescindibles-para-convertirte-en-el-maestro-de-las-barbacoas,Cerdo y embutido. Tope de carne por comensal (RF-26).
Barbacoa 2,Cena,Manolo,Enciende las brasas 30-40 min antes. Saca el vacuno de la nevera para atemperar. Ten el chimichurri preparado.,"1. Enciende las brasas 30-40 min antes; saca el vacuno de la nevera para atemperar.
2. Sella el entrecot y el chuleton sobre brasa fuerte ~5 min por cara; una sola vuelta.
3. Asa las chuletas de cordero hasta que esten doradas y jugosas.
4. Haz la chistorra y el chorizo cerca del borde para que no revienten.
5. Deja reposar el vacuno 5 min antes de trocear; acompana con chimichurri.
6. Asa las verduras (calabacin, cebolleta, pimiento) y las mazorcas untadas de aceite, 5-10 min por lado.
7. Echa la sal AL FINAL para no resecar la carne.",https://www.directoalpaladar.com/recetario/83-mejores-recetas-barbacoa-para-sacar-todo-partido-a-parrilla-este-verano,"Vacuno, pollo y verdura. Tope de carne por comensal (RF-26)."
Fajitas,Cena,Manolo,,"1. Corta el pollo en tiras y la cebolla y los pimientos en tiras anchas.
2. Salpimienta el pollo y saltealo en aceite muy caliente; reserva.
3. Saltea los pimientos y la cebolla hasta tiernos pero firmes.
4. Devuelve el pollo, anade especias fajita (comino, pimenton) y un chorrito de lima.
5. Calienta las tortillas en sarten seca por ambas caras.
6. Rellena y enrolla; sirve con guacamole, nata agria, queso, tomate y lechuga.",https://www.divinacocina.es/fajitas-de-pollo-faciles/,
Hamburguesas,Cena,,,"1. Usa carne picada fresca; salpimienta.
2. Mezcla sin amasar en exceso y forma discos regulares.
3. Deja reposar 10 min a temperatura ambiente.
4. Plancha o parrilla a fuego medio-fuerte; coloca la hamburguesa untada de aceite.
5. 2-3 min sin moverla; da la vuelta una vez y pon el queso encima; 2-4 min segun punto.
6. Tuesta el pan por dentro.
7. Monta: pan, lechuga y tomate, hamburguesa, bacon, cebolla y pepinillos, salsa y cierra. Acompana con patatas.",https://www.directoalpaladar.com/recetas-de-carnes-y-aves/como-hacer-hamburguesas-caseras,
